,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,pageview_sum,pageview_mean,PIE,PACE,SALARY,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
191,204,Vince Carter,SF,40,24.6,2.6,6.7,0.39399999999999996,1.5,4.1,0.37799999999999995,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8.0,1420828,3882.0437158469945,7.8,95.02,4264057.0,MEM,73,24.7,1.36,-0.06,1.3,4.81,0.0,7.0
192,205,Alex Len,C,23,20.3,3.0,6.0,0.49700000000000005,0.0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,115907,316.6857923497268,9.5,103.52,4823621.0,PHX,77,20.3,-3.62,1.28,-2.34,0.81,10.5,6.0
193,206,D.J. Augustin,PG,29,19.7,2.5,6.6,0.377,1.2,3.5,0.34700000000000003,1.3,3.1,0.41200000000000003,0.469,1.7,2.1,0.8140000000000001,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9,10311,28.172131147540984,8.0,97.4,7250000.0,ORL,78,19.7,-1.53,-3.4,-4.93,-1.74,,
194,207,Langston Galloway,PG,25,20.2,2.8,7.4,0.38,1.6,4.2,0.39,1.2,3.2,0.36700000000000005,0.49,0.7,0.9,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9,80065,218.7568306010929,6.7,99.48,5200000.0,NO/SAC,74,20.2,0.1,-1.65,-1.55,1.46,14.5,2.0
195,208,Shelvin Mack,PG,26,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,73685,201.32513661202185,7.9,93.44,2433334.0,UTAH,55,21.9,-1.51,-1.28,-2.79,0.25,6.0,3.0
196,210,Rajon Rondo,PG,30,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.45299999999999996,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,857652,2343.311475409836,10.6,97.96,14000000.0,CHI,69,26.7,-1.35,-0.49,-1.84,1.51,185.5,74.0
197,211,Garrett Temple,SG,30,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.47600000000000003,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,51690,141.2295081967213,7.1,97.51,8000000.0,SAC,65,26.6,-0.14,-0.46,-0.6,2.67,2.0,1.0
198,212,Justin Holiday,SG,27,20.0,2.8,6.6,0.433,1.2,3.3,0.355,1.7,3.2,0.513,0.523,0.8,1.0,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,267602,731.1530054644809,9.2,98.65,,NY,82,20.0,-0.58,0.25,-0.33,2.87,,
199,213,Matthew Dellavedova,PG,26,26.1,2.7,7.0,0.39,1.0,2.8,0.36700000000000005,1.7,4.2,0.40399999999999997,0.46299999999999997,1.1,1.3,0.8540000000000001,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6,639403,1747.0027322404371,6.6,97.5,9607500.0,MIL,76,26.1,-0.88,-1.01,-1.89,1.54,175.0,30.0
200,214,Luol Deng,SF,31,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,462975,1264.9590163934427,7.7,100.3,18000000.0,LAL,56,26.5,-1.87,1.54,-0.33,2.69,22.0,13.5
201,215,Andre Iguodala,SF,33,26.3,2.9,5.5,0.528,0.8,2.3,0.36200000000000004,2.0,3.1,0.6509999999999999,0.605,0.9,1.3,0.706,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6,1180151,3224.4562841530055,10.2,101.92,11131368.0,GS,76,26.3,2.01,1.52,3.53,8.72,300.5,43.0
202,216,Manu Ginobili,SG,39,18.7,2.5,6.4,0.39,1.3,3.3,0.392,1.2,3.1,0.387,0.491,1.2,1.6,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5,21613,59.05191256830601,8.7,100.94,14000000.0,SA,69,18.7,1.43,1.0,2.43,4.64,299.0,66.0
203,217,Iman Shumpert,SG,26,25.5,2.6,6.4,0.41100000000000003,1.2,3.4,0.36,1.4,3.0,0.469,0.507,0.9,1.2,0.789,0.5,2.4,2.9,1.4,0.8,0.4,1.0,2.0,7.5,739053,2019.2704918032787,5.5,97.99,9662922.0,CLE,76,25.5,-0.98,-0.16,-1.14,2.43,,
204,218,Ivica Zubac,C,19,16.0,3.3,6.3,0.529,0.0,0.1,0.0,3.3,6.2,0.536,0.529,0.8,1.3,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5,157414,430.09289617486337,10.0,102.85,,LAL,38,16.0,-3.04,-0.26,-3.3,-0.07,5.0,43.0
205,219,Timofey Mozgov,C,30,20.4,3.1,6.1,0.515,0.0,0.0,0.0,3.1,6.1,0.517,0.515,1.2,1.4,0.8079999999999999,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4,464045,1267.8825136612022,7.2,99.38,16000000.0,LAL,54,20.4,-4.02,0.93,-3.09,0.03,,
206,220,Isaiah Whitehead,PG,21,22.5,2.8,7.0,0.402,0.6,2.0,0.295,2.2,4.9,0.446,0.445,1.2,1.5,0.805,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,7.4,89286,243.95081967213116,5.2,102.31,,BKN,73,22.5,-1.95,-1.16,-3.11,0.02,,
207,221,Alan Williams,C,24,15.1,2.9,5.7,0.517,0.0,0.0,0.0,2.9,5.7,0.519,0.517,1.5,2.4,0.625,2.0,4.2,6.2,0.5,0.6,0.7,0.8,2.7,7.4,7764,21.21311475409836,12.7,102.8,,PHX,47,15.1,-0.94,1.49,0.55,1.75,1.0,7.0
208,222,Spencer Dinwiddie,PG,23,22.6,2.3,5.1,0.444,0.6,1.7,0.376,1.6,3.4,0.478,0.507,2.1,2.7,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2.0,7.3,75764,207.0054644808743,8.7,101.2,,BKN,59,22.6,-0.8,0.31,-0.49,2.29,0.0,7.0
209,224,Danny Green,SG,29,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.9,2.0,0.42,0.523,0.4,0.5,0.8440000000000001,0.5,2.8,3.3,1.8,1.0,0.8,1.1,1.8,7.3,2525,6.917808219178082,6.9,94.47,10000000.0,SA,68,26.6,-0.45,1.71,1.26,4.83,0.0,15.0
210,225,David Lee,PF,33,18.7,3.1,5.3,0.59,0.0,0.0,,3.1,5.3,0.59,0.59,1.0,1.4,0.708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3,18660,50.98360655737705,12.6,98.36,1551659.0,SA,79,18.7,-0.38,1.5,1.12,3.98,56.5,35.0
211,226,Tyler Ulis,PG,21,18.4,3.0,7.2,0.42100000000000004,0.3,1.3,0.266,2.7,5.9,0.455,0.445,0.9,1.2,0.775,0.3,1.2,1.6,3.7,0.8,0.1,1.3,1.2,7.3,244932,669.2131147540983,9.5,103.45,,PHX,61,18.4,-2.03,-2.23,-4.26,-0.86,,
212,227,Thabo Sefolosha,SF,32,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.49200000000000005,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,151367,413.57103825136613,8.6,99.53,3850000.0,ATL,62,25.7,-1.93,2.27,0.34,3.55,28.5,17.5
213,228,Rodney Stuckey,PG,30,17.8,2.3,6.3,0.373,0.5,1.5,0.317,1.8,4.7,0.391,0.41200000000000003,2.1,2.7,0.748,0.2,2.0,2.2,2.2,0.4,0.0,1.4,1.1,7.2,63191,172.65300546448088,7.5,96.83,7000000.0,IND,39,17.8,-1.66,-0.91,-2.57,0.23,,
214,229,Justin Anderson,SF,23,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.7909999999999999,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,1850,5.068493150684931,9.1,97.35,1514160.0,DAL/PHI,75,16.4,-1.36,-2.54,-3.9,-0.59,5.0,10.0
